time,total_cab_power
20640.0,15200.623426
20700.0,15206.949166
20760.0,15085.302605
20820.0,15229.045319
20880.0,15229.793185999999
20940.0,15229.256896
21000.0,15226.302631
21060.0,15229.264901
21120.0,15235.526198
21180.0,15243.076246
21240.0,15244.641479
21300.0,15249.321584
21360.0,14693.209375999999
21420.0,10183.170566
21480.0,9785.949202
21540.0,9665.429986
21600.0,9675.264869
21660.0,9663.359248
21720.0,9657.179992
21780.0,9649.151694
21840.0,9651.237695
21900.0,9647.179983
21960.0,9648.251455
22020.0,9659.453571
22080.0,9649.698836
22140.0,9654.699248
22200.0,9648.660753
22260.0,9650.510201000001
22320.0,9647.776136
22380.0,9646.00074
22440.0,9651.321512
22500.0,9644.545364
22560.0,9656.132819
22620.0,9651.453582999999
22680.0,9658.680008
22740.0,9651.295382999999
22800.0,9649.170555
22860.0,9643.833849999999
22920.0,9642.887545
22980.0,9644.091781
23040.0,9634.641536
23100.0,9646.076229
23160.0,9637.321498
23220.0,9645.833847
23280.0,9639.198524
23340.0,9644.642286
23400.0,9661.698874
23460.0,9672.453589
23520.0,9669.359208
23580.0,9661.199203
23640.0,9679.276141
23700.0,9666.327024
23760.0,9679.42998
23820.0,9668.88752
23880.0,9669.487685
23940.0,9664.227142
24000.0,9661.506917
24060.0,9666.333838
24120.0,9661.237684
24180.0,9673.333844
24240.0,9659.391525
24300.0,9664.73769
24360.0,9654.434734999999
24420.0,9657.189419
24480.0,9658.661483
24540.0,9660.472457
24600.0,9667.883705999999
24660.0,9661.598394
24720.0,9654.30262
24780.0,9645.31461
24840.0,9647.032929
24900.0,9644.415832
24960.0,9650.237676
25020.0,9652.566759
25080.0,9648.333836
25140.0,9653.346656
25200.0,9646.491306
25260.0,9652.6
25320.0,9647.828953
25380.0,9649.283741
25440.0,9643.888332
25500.0,9647.209384
25560.0,9637.302635
25620.0,9635.526129
25680.0,9636.717752
25740.0,9638.189406
25800.0,9655.699207
25860.0,9648.66113
25920.0,9662.968434
25980.0,9663.415834
26040.0,9667.429975
26100.0,9645.6234
26160.0,9642.113963
26220.0,9638.468442
26280.0,9631.736584
26340.0,9639.35922
26400.0,9637.170552
26460.0,9641.170536
26520.0,9636.754068
26580.0,9634.208299
26640.0,9236.797644
26700.0,8771.566792
26760.0,9165.717738
26820.0,11169.523156
26880.0,15240.083832
26940.0,15289.095089
27000.0,15300.295403
27060.0,15319.814654
27120.0,15323.853030999999
27180.0,11555.103069
27240.0,12398.929955
27300.0,13844.045308
27360.0,12853.209455
27420.0,12597.949158
27480.0,13565.000739
27540.0,13620.372346
27600.0,13843.95451
27660.0,12883.103116
27720.0,12282.778069
27780.0,13503.56468
27840.0,13674.072156999999
27900.0,13343.434702999999
27960.0,13039.256969
28020.0,12877.7976
28080.0,12253.373871
28140.0,12256.891556
28200.0,12565.103004
28260.0,12575.506932
28320.0,12425.064635
28380.0,14062.758407
28440.0,27269.302299
28500.0,13641.583859
28560.0,13681.718535
28620.0,13693.045411
28680.0,12436.776201
28740.0,12384.170221
28800.0,12983.506946
28860.0,12365.487724
28920.0,13192.545384
28980.0,13343.699541
29040.0,12620.38
29100.0,12860.968472
29160.0,12287.385913
29220.0,12174.333858
29280.0,12437.968422
29340.0,12179.660794
29400.0,11956.047387
29460.0,12236.091775
29520.0,13000.122243
29580.0,12515.218469
29640.0,12137.218504999999
29700.0,12739.66072
29760.0,11524.36
29820.0,7375.949221
29880.0,7259.585647
29940.0,7233.566764
30000.0,7231.5453609999995
30060.0,7227.887526
30120.0,7224.910771
30180.0,7220.812075
30240.0,7221.141549
30300.0,7213.88753
30360.0,7213.18942
30420.0,7209.793207
30480.0,7207.736583
30540.0,7208.026153
30600.0,7209.468441
30660.0,7211.96299
30720.0,7212.391536
30780.0,7216.302616
30840.0,7218.526137
30900.0,7220.622307
30960.0,7220.583837
31020.0,7216.949236
31080.0,7218.529025
31140.0,7216.434701
31200.0,7215.449215
31260.0,7212.199208
31320.0,8283.132827
31380.0,11638.141507
31440.0,12515.758455
31500.0,14089.545368
31560.0,19471.974141
31620.0,23473.7378
31680.0,24843.954534
31740.0,24336.71838
31800.0,24215.42
31860.0,23068.35312
31920.0,25141.02
31980.0,24383.94936
32040.0,23676.248639
32100.0,24451.542631
32160.0,24558.013235
32220.0,21807.89147
32280.0,16844.876046
32340.0,18361.468517
32400.0,21775.268274000002
32460.0,23661.934850999998
32520.0,24527.14157
32580.0,24463.0
32640.0,23838.28786
32700.0,23289.50688
32760.0,25802.797696
32820.0,23994.621189999998
32880.0,24068.872320000002
32940.0,24934.5625
33000.0,21215.96854
33060.0,17627.853043
33120.0,16627.000761
33180.0,14133.954441
33240.0,19833.603079
33300.0,21338.718484999998
33360.0,21173.12
33420.0,21166.699305
33480.0,21230.346697
33540.0,21281.929948
33600.0,21652.929931
